,name,price,url,brand,product_type,website
286,Whirlpool ADN213 ,23999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/whirlpool-adn213/,Whirlpool Professional,Fritstående køleskabe,Whiteaway
287,Liebherr RSFE4620 ,10899,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-rsfe4620/,Liebherr,Fritstående køleskabe,Whiteaway
288,Electrolux LRS2DE39W ,6499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lrs2de39w/,Electrolux,Fritstående køleskabe,Whiteaway
289,Liebherr SRBDE5220+SFNBDE5227 ,27999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-srbde5220-sfnbde5227/,Liebherr,Fritstående køleskabe,Whiteaway
290,Liebherr CBNbsd 578i-20 001 Køl/frys,28792,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cbnbsd-578i-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
291,Liebherr CBNstd 5783-20 001 Køl/frys,29999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cbnstd-5783-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
292,Liebherr CBNstd 579i-20 001 Køl/frys,34999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cbnstd-579i-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
293,Liebherr CNbdc 5733-20 001 Køl/frys,14899,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cnbdc-5733-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
294,Liebherr CNsdb 5753-20 001 Køl/frys,20999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cnsdb-5753-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
295,Liebherr CNsdc 5223-20 001 Køl/frys,13990,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cnsdc-5223-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
296,Liebherr CNsdd 5763-20 001 Køl/frys,21999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cnsdd-5763-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
297,Liebherr RBbsc 5250-20 001 Køleskab,19053,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-rbbsc-5250-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
298,Liebherr RBsdd 5250-20 001 Køleskab,16664,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-rbsdd-5250-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
299,Liebherr RBstd 528i-20 001 Køleskab,28999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-rbstd-528i-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
300,Liebherr SCNsdd 5253-20  001 Køl/frys,17988,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-scnsdd-5253-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
301,Liebherr SRBbsd 529i-20 001 Køleskab,26248,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-srbbsd-529i-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
302,Liebherr SRBsdd 5260-20 001 Køleskab,22999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-srbsdd-5260-20-001/,Liebherr,Fritstående køleskabe,Whiteaway
303,ASKO R23841B ,13195,hvidevarer/koeleskab/fritstaaende-koeleskab/product/asko-r23841b/,ASKO,Fritstående køleskabe,Whiteaway
304,Electrolux LRB2DE33W+ LUT2NE32W,12999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lrb2de33w-lut2ne32w/,Electrolux,Fritstående køleskabe,Whiteaway
305,Liebherr RSFE5020 ,11290,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-rsfe5020/,Liebherr,Fritstående køleskabe,Whiteaway
306,Bosch KSV36NWEQ ,5191,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bosch-ksv36nweq/,Bosch,Fritstående køleskabe,Whiteaway
307,Vestfrost WV146K-2 ,5749,hvidevarer/koeleskab/fritstaaende-koeleskab/product/vestfrost-wv146k-2/,Vestfrost,Fritstående køleskabe,Whiteaway
