,name,price,url,brand,product_type,website
22,Best Matic minikøleskab SDR-126618.4 | Elgiganten,1999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/best-matic-minikoleskab-sdr-1266184/481441,BestMatic,Minikøleskab,Elgiganten
23,Logik køleskab LUL48W23E | Elgiganten,949.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/logik-koleskab-lul48w23e/633639,Logik,Køleskab,Elgiganten
24,Bosch Serie 6 fryseskab GSN58AWEV (70 cm bred) | Elgiganten,6499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/bosch-serie-6-fryseskab-gsn58awev-70-cm-bred/140139,Bosch,Skabsfryser,Elgiganten
25,Bosch køle-/fryseskab kombination KGN49VXCT (sort inox) | Elgiganten,7999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/bosch-kole-fryseskab-kombination-kgn49vxct-sort-inox/522088,Bosch,Kølefryseskab,Elgiganten
26,Logik køle-/fryseskab LDD143W23E | Elgiganten,1888.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/logik-kole-fryseskab-ldd143w23e/633640,Logik,Kølefryseskab,Elgiganten
27,Logik kummefryser LCF95W23E | Elgiganten,999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kummefryser/logik-kummefryser-lcf95w23e/633644,Logik,Kummefryser,Elgiganten
28,Samsung kølefryseskab RB38C705DS9/EF | Elgiganten,6499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb38c705ds9ef/613869,Samsung,Kølefryseskab,Elgiganten
29,Samsung køleskab RR39C7AF5B1/EF | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/samsung-koleskab-rr39c7af5b1ef/613870,Samsung,Køleskab,Elgiganten
30,Temptech køleskab VINT1400RED | Elgiganten,1999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/temptech-koleskab-vint1400red/355461,Temptech,Minikøleskab,Elgiganten
31,Best Matic drikkevarekøler TBT-127183 | Elgiganten,3999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/best-matic-drikkevarekoler-tbt-127183/617348,Emerio,Minikøleskab,Elgiganten
32,Samsung side-by-side-kølefryseskab RH68B8841S9/EF | Elgiganten,10999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/amerikanerkoleskab/samsung-side-by-side-kolefryseskab-rh68b8841s9ef/459779,Samsung,Amerikanerkøleskab,Elgiganten
33,Bosch køleskab KIF81HDD0 indbygget | Elgiganten,10949.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/bosch-koleskab-kif81hdd0-indbygget/204776,Bosch,Køleskab,Elgiganten
34,Beko køleskab RSSE445M25WN | Elgiganten,2799.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/beko-koleskab-rsse445m25wn/202511,Beko,Køleskab,Elgiganten
35,Logik fryser LUF48W23E | Elgiganten,1111.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/logik-fryser-luf48w23e/633635,Logik,Skabsfryser,Elgiganten
36,Samsung kølefryseskab RB34C705CWW/EF | Elgiganten,6999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb34c705cwwef/613863,Samsung,Kølefryseskab,Elgiganten
37,Samsung kølefryseskab RB33B610EWW/EF | Elgiganten,3499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb33b610ewwef/485477,Samsung,Kølefryseskab,Elgiganten
38,Logik kummefryser LCF198W23E | Elgiganten,1499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kummefryser/logik-kummefryser-lcf198w23e/633636,Logik,Kummefryser,Elgiganten
39,Epoq kølefryseskab EBF185W23D | Elgiganten,5499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/epoq-kolefryseskab-ebf185w23d/626817,Epoq,Kølefryseskab,Elgiganten
40,Logik minikøleskab LTTRF68X23E | Elgiganten,1111.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/logik-minikoleskab-lttrf68x23e/633648,Logik,Minikøleskab,Elgiganten
41,Logik kummefryser LCF142W23E | Elgiganten,1299.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kummefryser/logik-kummefryser-lcf142w23e/633641,Logik,Kummefryser,Elgiganten
42,Logik kummefryser LCF308W23E | Elgiganten,2999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kummefryser/logik-kummefryser-lcf308w23e/633632,Logik,Kummefryser,Elgiganten
43,Samsung fryser RZ32C7AEES9/EF | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/samsung-fryser-rz32c7aees9ef/613875,Samsung,Skabsfryser,Elgiganten
44,Samsung køleskab RR39C7AF5S9/EF | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/samsung-koleskab-rr39c7af5s9ef/613864,Samsung,Køleskab,Elgiganten
45,Beko fryser RFNE312L25WN | Elgiganten,3299.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/beko-fryser-rfne312l25wn/202512,Beko,Skabsfryser,Elgiganten
46,Bosch Køl/frys kombination KIN86SDD0 | Elgiganten,11249.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/bosch-kolfrys-kombination-kin86sdd0/617375,Bosch,Kølefryseskab,Elgiganten
47,Epoq kølefryseskab EBF200W23D | Elgiganten,5999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/epoq-kolefryseskab-ebf200w23d/626818,Epoq,Kølefryseskab,Elgiganten
48,Bosch Køl/frys kombination KIF87SDB0 | Elgiganten,12599.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/bosch-kolfrys-kombination-kif87sdb0/617376,Bosch,Kølefryseskab,Elgiganten
49,Miele køle-/fryseskab kombination KFN4797DD (hvid) | Elgiganten,8444.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kole-fryseskab-kombination-kfn4797dd-hvid/494384,Miele,Kølefryseskab,Elgiganten
50,Miele Køl/frys kombination KFN 4795 DD (CleanSteel) | Elgiganten,8888.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kolfrys-kombination-kfn-4795-dd-cleansteel/539104,Miele,Kølefryseskab,Elgiganten
51,Bosch indbygget fryser GIN81HCE0 | Elgiganten,10799.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/bosch-indbygget-fryser-gin81hce0/204790,Bosch,Skabsfryser,Elgiganten
